"kib-product-image href","kib-product-image src","kib-product-message","kib-product-title__text","kib-product-title__text 2","kib-product-rating__label","kib-product-rating__count","kib-product-price","kib-product-price 2","kib-product-price__label 2","kib-product-pricing__autoship-text","kib-product-message 3","kib-product-price 3","kib-product-price__label 3"
"https://www.chewy.com/instinct-limited-ingredient-diet/dp/146292","https://image.chewy.com/is/image/catalog/119102_MAIN._AC_SS120_V1576692816_.jpg","More Choices Available","Limited Ingredient Diet Grain-Free Recipe with Real Lamb Freeze-Dried Raw Coated Dry D...","Instinct","Rated 4.6681 out of 5 stars","232","$79.99","$75.99","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/instinct-frozen-raw-bites-grain-free/dp/170886","https://image.chewy.com/is/image/catalog/144020_MAIN._AC_SS120_V1668200065_.jpg","More Choices Available","Frozen Raw Bites Grain-Free Cage-Free Chicken Recipe Dog Food, 6-lb bag","Instinct","Rated 3.6831 out of 5 stars","142","$37.99","$36.09","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/instinct-freeze-dried-raw-boost/dp/187506","https://image.chewy.com/is/image/catalog/160782_MAIN._AC_SS120_V1551994619_.jpg","More Choices Available","Freeze-Dried Raw Boost Mixers Grain-Free Skin & Coat Health Recipe Dog Food Topper, 5....","Instinct","Rated 4.6129 out of 5 stars","124","$15.99","$15.19","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/natures-diet-fresh-turkey-simply-raw/dp/344415","https://image.chewy.com/is/image/catalog/318133_MAIN._AC_SS120_V1628802755_.jpg","","Fresh Turkey Simply Raw Freeze-Dried Dog Food, 3-lb bag","Nature's Diet","Rated 3.1273 out of 5 stars","55","$32.99","$31.34","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$37.99","List Price"
"https://www.chewy.com/stella-chewys-stellas-super-beef/dp/121084","https://image.chewy.com/is/image/catalog/93474_MAIN._AC_SS120_V1621892897_.jpg","More Choices Available","Stella's Super Beef Dinner Patties Freeze-Dried Raw Dog Food, 25-oz bag","Stella & Chewy's","Rated 4.6125 out of 5 stars","640","$59.99","$56.99","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/orijen-original-grain-free-dry-dog/dp/128817","https://image.chewy.com/is/image/catalog/101296_MAIN._AC_SS120_V1628114295_.jpg","More Choices Available","Original Grain-Free Dry Dog Food, 25-lb bag","ORIJEN","Rated 4.6195 out of 5 stars","1,582","$99.99","$94.99","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/vital-essentials-beef-mini-nibs-grain/dp/305729","https://image.chewy.com/is/image/catalog/279332_MAIN._AC_SS120_V1614986206_.jpg","More Choices Available","Beef Mini Nibs Grain-Free Freeze-Dried Dog Food, 1-lb bag","Vital Essentials","Rated 4.7239 out of 5 stars","163","$33.49","$31.82","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/instinct-raw-boost-grain-free-recipe/dp/146271","https://image.chewy.com/is/image/catalog/119081_MAIN._AC_SS120_V1649880695_.jpg","More Choices Available","Raw Boost Grain-Free Recipe with Real Chicken & Freeze-Dried Raw Pieces Dry Dog Food, ...","Instinct","Rated 4.4663 out of 5 stars","326","$79.99","$75.99","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/primal-beef-formula-nuggets-grain/dp/43379","https://image.chewy.com/is/image/catalog/58371_MAIN._AC_SS120_V1618429717_.jpg","More Choices Available","Beef Formula Nuggets Grain-Free Raw Freeze-Dried Dog Food, 14-oz bag","Primal","Rated 4.52 out of 5 stars","300","$33.98","$32.28","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$34.00","List Price"
"https://www.chewy.com/nulo-freestyle-duck-recipe-pears/dp/162465","https://image.chewy.com/is/image/catalog/135475_MAIN._AC_SS120_V1665525945_.jpg","More Choices Available","Freestyle Duck Recipe With Pears Grain-Free Freeze-Dried Raw Dog Food, 5-oz bag","Nulo","Rated 4.6562 out of 5 stars","32","$16.99","$16.14","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/merrick-healthy-grains-raw-coated/dp/291648","https://image.chewy.com/is/image/catalog/265212_MAIN._AC_SS120_V1673561130_.jpg","More Choices Available","Healthy Grains Raw-Coated Kibble Real Beef + Brown Rice Recipe Freeze-Dried Dry Dog Foo...","Merrick","Rated 4.3846 out of 5 stars","39","$81.98","$77.88","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/instinct-limited-ingredient-diet/dp/149468","https://image.chewy.com/is/image/catalog/122318_MAIN._AC_SS120_V1580743129_.jpg","More Choices Available","Limited Ingredient Diet Grain-Free Recipe with Real Salmon Freeze-Dried Raw Coated Dry...","Instinct","Rated 4.4559 out of 5 stars","68","$79.99","$75.99","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/instinct-frozen-raw-patties-grain/dp/170867","https://image.chewy.com/is/image/catalog/144000_MAIN._AC_SS120_V1668200384_.jpg","More Choices Available","Frozen Raw Patties Grain-Free Real Beef Recipe Dog Food, 6-lb bag","Instinct","Rated 3.9583 out of 5 stars","120","$39.99","$37.99","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/instinct-raw-boost-mixers-beef-recipe/dp/117329","https://image.chewy.com/is/image/catalog/89610_MAIN._AC_SS120_V1548952073_.jpg","More Choices Available","Raw Boost Mixers Beef Recipe Grain-Free Freeze-Dried Dog Food Topper, 14-oz bag","Instinct","Rated 4.7375 out of 5 stars","259","$19.89","$18.90","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$29.99","List Price"
"https://www.chewy.com/instinct-raw-boost-recipe-real-beef/dp/693358","https://image.chewy.com/is/image/catalog/693550_MAIN._AC_SS120_V1669123814_.jpg","","Instinct Raw Boost Recipe with Real Beef & Freeze-Dried Raw Pieces Dry Food + Frozen Ra...","Bundle:","","","$112.48","$106.86","Autoship Price","Autoship","FREE 1-3 day shipping on this item","$124.98","List Price"
"https://www.chewy.com/stella-chewys-duck-duck-goose-dinner/dp/121086","https://image.chewy.com/is/image/catalog/93476_MAIN._AC_SS120_V1516116336_.jpg","More Choices Available","Duck Duck Goose Dinner Patties Freeze-Dried Raw Dog Food, 25-oz bag","Stella & Chewy's","Rated 4.6704 out of 5 stars","622","$56.99","$54.14","Autoship Price","Autoship","FREE 1-3 day shipping on this item","$59.99","List Price"
"https://www.chewy.com/health-wellness-instinct-gut-health/dp/696518","https://image.chewy.com/is/image/catalog/696550_MAIN._AC_SS120_V1668095038_.jpg","","Health & Wellness - Instinct Gut Health Topper, Skin & Coat Topper, Mobility Support Do...","Bundle:","Rated 5 out of 5 stars","1","$41.30","$39.24","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$43.47","List Price"
"https://www.chewy.com/tender-true-farmers-market-recipe/dp/289145","https://image.chewy.com/is/image/catalog/262705_MAIN._AC_SS120_V1606238243_.jpg","","Farmers Market Recipe Freeze-Dried Raw Dog Food, 1-lb bag","Tender & True","Rated 5 out of 5 stars","9","$26.99","$25.64","Autoship Price","Autoship","FREE 1-3 day shipping over $49","$30.99","List Price"
"https://www.chewy.com/stella-chewys-wild-red-raw-blend/dp/317996","https://image.chewy.com/is/image/catalog/291641_MAIN._AC_SS120_V1619837827_.jpg","More Choices Available","Wild Red Raw Blend Kibble Grain-Free Red Meat Recipe Dry Dog Food, 21-lb bag","Stella & Chewy's","Rated 4.4091 out of 5 stars","22","$96.99","$92.14","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/primal-raw-pronto-lamb-recipe-dog/dp/614286","https://image.chewy.com/is/image/catalog/614286_MAIN._AC_SS120_V1659816406_.jpg","More Choices Available","Raw Pronto Lamb Recipe Dog Freeze-Dried Food, 7-oz bag","Primal","Rated 5 out of 5 stars","9","$19.98","$18.98","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/stella-chewys-chewys-chicken-meal/dp/109904","https://image.chewy.com/is/image/catalog/82079_MAIN._AC_SS120_V1517943041_.jpg","More Choices Available","Chewy's Chicken Meal Mixers Freeze-Dried Raw Dog Food Topper, 18-oz bag","Stella & Chewy's","Rated 4.6918 out of 5 stars","795","$44.99","$42.74","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/nulo-freestyle-salmon-turkey-recipe/dp/162473","https://image.chewy.com/is/image/catalog/135482_MAIN._AC_SS120_V1667918597_.jpg","More Choices Available","Freestyle Salmon & Turkey Recipe With Strawberries Grain-Free Freeze-Dried Raw Dog Food, 1...","Nulo","Rated 3.9091 out of 5 stars","22","$35.99","$34.19","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/instinct-limited-ingredient-diet/dp/146295","https://image.chewy.com/is/image/catalog/119105_MAIN._AC_SS120_V1553780662_.jpg","More Choices Available","Limited Ingredient Diet Grain-Free Recipe with Real Turkey Freeze-Dried Raw Coated Dry...","Instinct","Rated 4.6456 out of 5 stars","158","$74.99","$71.24","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/instinct-bites-lamb-recipe-grain-free/dp/327996","https://image.chewy.com/is/image/catalog/301673_MAIN._AC_SS120_V1668202913_.jpg","More Choices Available","Bites Lamb Recipe Grain-Free Grass-Fed Raw Frozen Dog Food, 5.4-lb bag","Instinct","Rated 4.2667 out of 5 stars","30","$39.99","$37.99","Autoship Price","Autoship","FREE 1-3 day shipping over $49","",""
"https://www.chewy.com/merrick-backcountry-raw-infused-grain/dp/253714","https://image.chewy.com/is/image/catalog/227195_MAIN._AC_SS120_V1670437224_.jpg","More Choices Available","Backcountry Raw Infused Grain-Free Chicken-Free Great Plains Red Recipe Dry Dog Food, 2...","Merrick","Rated 4.3006 out of 5 stars","469","$81.98","$77.88","Autoship Price","Autoship","FREE 1-3 day shipping on this item","",""
"https://www.chewy.com/stewart-raw-naturals-lamb-recipe/dp/128657","https://image.chewy.com/is/image/catalog/101134_MAIN._AC_SS120_V1586361438_.jpg","More Choices Available","Raw Naturals Lamb Recipe Grain-Free Freeze-Dried Dog Food, 24-oz bag","Stewart","Rated 4.6429 out of 5 stars","28","$43.99","","","","FREE 1-3 day shipping over $49","",""
